goos: darwin
goarch: amd64
pkg: github.com/bsv-blockchain/go-tx-map
cpu: Intel(R) Core(TM) i9-9880H CPU @ 2.30GHz
BenchmarkSwissMapUint64Iter/cockroachdb-16                 	   10000	    108530 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwissMapUint64Iter/cockroachdb-16                 	   10000	    108318 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwissMapUint64Delete/dolthub-16                   	    1056	   1115400 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwissMapUint64Delete/dolthub-16                   	    1068	   1124554 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwissMapUint64Delete/dolthub-16                   	    1042	   1139269 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwissMapUint64Delete/cockroachdb-16               	    1195	    993894 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwissMapUint64Delete/cockroachdb-16               	    1262	    972960 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwissMapUint64Delete/cockroachdb-16               	    1208	    958985 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/bsv-blockchain/go-tx-map	176.766s
